;ESTADO_PROMESAS;MORA;VECES_EN_COBRANZAS;CUOTAS_ADEUDADAS_0;CUOTAS_ADEUDADAS_1;CUOTAS_ADEUDADAS_2;DIA_SEMANA_Friday;DIA_SEMANA_Monday;DIA_SEMANA_Thursday;DIA_SEMANA_Tuesday;DIA_SEMANA_Wednesday;PERIODO_DIA_mañana;PERIODO_DIA_tarde;PERIODO_DIA_noche;ANTIGUEDAD;DEUDAVENCIDA_ACTUAL;DEUDAVENCIDA_1MES;DEUDAVENCIDA_2MESES;DEUDA_TOTAL
88;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0.25;0.42761049306754173;0.7109363411971017;0.0;0.29209324172160867
89;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0.25;0.5223343357232122;0.0;0.0;0.3222262517592971
90;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0.5;0.41903911515279657;0.45205397835280936;0.34644447489985525;0.3602306641021613
91;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0.75;0.6148138503791707;0.7767177487355946;0.0;0.1559573251966495
92;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0.25;0.6505925037454701;0.7708185350958274;0.7360225462531014;0.74666847541404
93;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0.25;0.426150420515949;0.0;0.0;0.2709655457291589
94;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0.5;0.49822509048821795;0.0;0.0;0.7547512076751179
95;0;1;1;0;0;1;1;0;0;0;0;1;0;0;1.0;0.2943479098455545;0.6345188447029352;0.451875669959167;0.26425831027554225
96;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0.5;0.8469632090255277;0.0;0.0;0.64385113731195
97;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0.5;0.29296478524350333;0.6314307486708297;0.0;0.394730228328082
98;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0.5;0.47493353478522016;0.6577379959123387;0.0;0.39416468144116323
99;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0.75;0.5829730510823019;0.7238516578616573;0.0;0.46117014008660395
100;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0.25;0.5560212705748553;0.7072518509893494;0.0;0.6695119483323067
101;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0.75;0.6127438983393259;0.742127247648495;0.0;0.603144689939721
102;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0.25;0.8015963301187996;0.8577527754941671;0.7423454845415294;0.741223080485643
103;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1.0;0.5032647293160188;0.690135232576987;0.0;0.24560867439125156
104;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0.5;0.5938289803628876;0.0;0.0;0.1464312221482682
105;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0.5;0.834841096545379;0.0;0.8835689472960641;0.7565481209061711
106;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0.5;0.9285643265909536;0.0;0.0;0.729587199133312
107;1;1;0;1;0;0;0;0;1;0;0;0;1;0;0.25;0.4815758802929824;0.0;0.6324766988188113;0.3112951026420119
108;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0.25;0.6834541258764875;0.7853492057077033;0.0;0.403498169599144
109;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0.25;0.6138493042243833;0.0;0.7090625572291965;0.7045027951378575
110;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0.5;0.6304668314550452;0.0;0.0;0.6859702470347446
111;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0.5;0.6257311176569136;0.7538924637757699;0.08929276759496217;0.7035390732238032
